chapter,article,recital
Controller and processor,Monitoring of approved codes of conduct,A body as referred to in paragraph 1 may be accredited to monitor compliance with a code of conduct where that body has:
Controller and processor,Monitoring of approved codes of conduct,demonstrated its independence and expertise in relation to the subject-matter of the code to the satisfaction of the competent supervisory authority;
Controller and processor,Monitoring of approved codes of conduct,"established procedures which allow it to assess the eligibility of controllers and processors concerned to apply the code, to monitor their compliance with its provisions and to periodically review its operation;"
Controller and processor,Monitoring of approved codes of conduct,"established procedures and structures to handle complaints about infringements of the code or the manner in which the code has been, or is being, implemented by a controller or processor, and to make those procedures and structures transparent to data subjects and the public; and"
Controller and processor,Monitoring of approved codes of conduct,demonstrated to the satisfaction of the competent supervisory authority that its tasks and duties do not result in a conflict of interests.
Controller and processor,Monitoring of approved codes of conduct,The competent supervisory authority shall submit the draft criteria for accreditation of a body as referred to in paragraph 1 of this Article to the Board pursuant to the consistency mechanism referred to in Article 63.
Controller and processor,Monitoring of approved codes of conduct,"Without prejudice to the tasks and powers of the competent supervisory authority and the provisions of Chapter VIII, a body as referred to in paragraph 1 of this Article shall, subject to appropriate safeguards, take appropriate action in cases of infringement of the code by a controller or processor, including suspension or exclusion of the controller or processor concerned from the code. It shall inform the competent supervisory authority of such actions and the reasons for taking them."
Controller and processor,Monitoring of approved codes of conduct,"The competent supervisory authority shall revoke the accreditation of a body as referred to in paragraph 1 if the conditions for accreditation are not, or are no longer, met or where actions taken by the body infringe this Regulation."
Controller and processor,Monitoring of approved codes of conduct,This Article shall not apply to processing carried out by public authorities and bodies.
Controller and processor,Certification,"The Member States, the supervisory authorities, the Board and the Commission shall encourage, in particular at Union level, the establishment of data protection certification mechanisms and of data protection seals and marks, for the purpose of demonstrating compliance with this Regulation of processing operations by controllers and processors. The specific needs of micro, small and medium- sized enterprises shall be taken into account."
Controller and processor,Certification,"In addition to adherence by controllers or processors subject to this Regulation, data protection certification mechanisms, seals or marks approved pursuant to paragraph 5 of this Article may be established for the purpose of demonstrating the existence of appropriate safeguards provided by controllers or processors that are not subject to this Regulation pursuant to Article 3 within the framework of personal data transfers to third countries or international organisations under the terms referred to in point (f) of Article 46(2). Such controllers or processors shall make binding and"
Controller and processor,Certification,"enforceable commitments, via contractual or other legally binding instruments, to apply those appropriate safeguards, including with regard to the rights of data subjects."
Controller and processor,Certification,The certification shall be voluntary and available via a process that is transparent.
Controller and processor,Certification,A certification pursuant to this Article does not reduce the responsibility of the controller or the processor for compliance with this Regulation and is without prejudice to the tasks and powers of the supervisory authorities which are competent pursuant to Article 55 or 56.
Controller and processor,Certification,"A certification pursuant to this Article shall be issued by the certification bodies referred to in Article 43 or by the competent supervisory authority, on the basis of criteria approved by that competent supervisory authority pursuant to Article 58(3) or by the Board pursuant to Article 63. Where the criteria are approved by the Board, this may result in a common certification, the European Data Protection Seal."
Controller and processor,Certification,"The controller or processor which submits its processing to the certification mechanism shall provide the certification body referred to in Article 43, or where applicable, the competent supervisory authority, with all information and access to its processing activities which are necessary to conduct the certification procedure."
Controller and processor,Certification,"Certification shall be issued to a controller or processor for a maximum period of three years and may be renewed, under the same conditions, provided that the relevant requirements continue to be met. Certification shall be withdrawn, as applicable, by the certification bodies referred to in Article 43 or by the competent supervisory authority where the requirements for the certification are not or are no longer met."
Controller and processor,Certification,The Board shall collate all certification mechanisms and data protection seals and marks in a register and shall make them publicly available by any appropriate means.
Controller and processor,Certification bodies,"Without prejudice to the tasks and powers of the competent supervisory authority under Articles 57 and 58, certification bodies which have an appropriate level of expertise in relation to data protection shall, after informing the supervisory authority in order to allow it to exercise its powers pursuant to point (h) of Article 58(2) where necessary, issue and renew certification. Member States shall ensure that those certification bodies are accredited by one or both of the following:"
Controller and processor,Certification bodies,the supervisory authority which is competent pursuant to Article 55 or 56;
Controller and processor,Certification bodies,the national accreditation body named in accordance with Regulation (EC) No 765/2008 of the European Parliament and of the Counciin accordance with EN-ISO/IEC 17065/2012 and with the additional requirements established by the supervisory authority which is competent pursuant to Article 55 or 56.
Controller and processor,Certification bodies,Certification bodies referred to in paragraph 1 shall be accredited in accordance with that paragraph only where they have:
Controller and processor,Certification bodies,demonstrated their independence and expertise in relation to the subject-matter of the certification to the satisfaction of the competent supervisory authority;
Controller and processor,Certification bodies,undertaken to respect the criteria referred to in Article 42(5) and approved by the supervisory authority which is competent pursuant to Article 55 or 56 or by the Board pursuant  to  Article 63;
Controller and processor,Certification bodies,"established procedures for the issuing, periodic review and withdrawal of data protection certification, seals and marks;"
Controller and processor,Certification bodies,"established procedures and structures to handle complaints about infringements of the certification or the manner in which the certification has been, or is being, implemented by the controller or processor, and to make those procedures and structures transparent to data subjects and the public; and"
Controller and processor,Certification bodies,"demonstrated, to the satisfaction of the competent supervisory authority, that their tasks and duties do not result in a conflict of interests."
Controller and processor,Certification bodies,"The accreditation of certification bodies as referred to in paragraphs 1 and 2 of this Article shall take place on the basis of criteria approved by the supervisory authority which is competent pursuant to Article 55 or 56 or by the Board pursuant to Article 63. In the case of accreditation pursuant to point (b) of paragraph 1 of this Article, those requirements shall complement those envisaged in Regulation (EC) No 765/2008 and the technical rules that describe the methods and procedures of the certification bodies."
Controller and processor,Certification bodies,The certification bodies referred to in paragraph 1 shall be responsible for the proper assessment leading to the certification or the withdrawal of such certification without prejudice to the responsibility of the controller or processor for compliance with this Regulation. The accreditation shall be issued for a maximum period of five years and may be renewed on the same conditions provided that the certification body meets the requirements set out in this Article.
Controller and processor,Certification bodies,The certification bodies referred to in paragraph 1 shall provide the competent supervisory authorities with the reasons for granting or withdrawing the requested certification.
Controller and processor,Certification bodies,The requirements referred to in paragraph 3 of this Article and the criteria referred  to  in  Article 42(5) shall be made public by the supervisory authority in an easily accessible form. The supervisory authorities shall also transmit those requirements and criteria to the Board. The Board shall collate all certification mechanisms and data protection seals in a register and shall make them publicly available by any appropriate means.
Controller and processor,Certification bodies,"Without prejudice to Chapter VIII, the competent supervisory authority or the national accreditation body shall revoke an accreditation of a certification body pursuant to paragraph 1 of this Article where the conditions for the accreditation are not, or are no longer, met or where actions taken by a certification body infringe this Regulation."
Controller and processor,Certification bodies,The Commission shall be empowered to adopt delegated acts in accordance with Article 92 for the purpose of specifying the requirements to be taken into account for the data protection certification mechanisms referred to in Article 42(1).
Controller and processor,Certification bodies,"The Commission may adopt implementing acts laying down technical standards for certification mechanisms and data protection seals and marks, and mechanisms to promote and recognise those certification mechanisms, seals and marks. Those implementing acts shall be adopted in accordance with the examination procedure referred to in Article 93(2)."
Transfers of personal data to third countries or international organisations,General principle for transfers,"Any transfer of personal data which are undergoing processing or are intended for processing after transfer to a third country or to an international organisation shall take place only if, subject to the other provisions of this Regulation, the conditions laid down in this Chapter are complied with by the controller and processor, including for onward transfers of personal data from the third country or an international organisation to another third country or to another international organisation. All provisions in this Chapter shall be applied in order to ensure that the level of protection of natural persons guaranteed by this Regulation is not undermined."
Transfers of personal data to third countries or international organisations,Transfers on the basis of an adequacy decision,"A transfer of personal data to a third country or an international organisation may take place where the Commission has decided that the third country, a territory or one or more specified sectors within that third country, or the international organisation in question ensures an adequate level of protection. Such a transfer shall not require any specific authorisation."
Transfers of personal data to third countries or international organisations,Transfers on the basis of an adequacy decision,"When assessing the adequacy of the level of protection, the Commission shall, in particular, take account of the following elements:"
Transfers of personal data to third countries or international organisations,Transfers on the basis of an adequacy decision,"the rule of law, respect for human rights and fundamental freedoms, relevant legislation, both general and sectoral, including concerning public security, defence, national security and criminal law and the access of public authorities to personal data, as well as the implementation of such legislation, data protection rules, professional rules and security measures, including rules for the onward transfer of personal data to another third country or international organisation which are complied with in that country or international organisation, case-law, as well as effective and enforceable data subject rights and effective"
Transfers of personal data to third countries or international organisations,Transfers on the basis of an adequacy decision,administrative and judicial redress for the data subjects whose personal data are being transferred;
Transfers of personal data to third countries or international organisations,Transfers on the basis of an adequacy decision,"the existence and effective functioning of one or more independent supervisory authorities in the third country or to which an international organisation is subject, with responsibility for ensuring and enforcing compliance with the data protection rules, including adequate enforcement powers, for assisting and advising the data subjects in exercising their rights and for cooperation with the supervisory authorities of the Member States; and"
Transfers of personal data to third countries or international organisations,Transfers on the basis of an adequacy decision,"the international commitments the third country or international organisation concerned has entered into, or other obligations arising from legally binding conventions or instruments as well as from its participation in multilateral or regional systems, in particular in relation to the protection of personal data."
Transfers of personal data to third countries or international organisations,Transfers on the basis of an adequacy decision,"The Commission, after assessing the adequacy of the level of protection, may decide, by means of implementing act, that a third country, a territory or one or more specified sectors within a third country, or an international organisation ensures an adequate level of protection within the meaning of paragraph 2 of this Article. The implementing act shall provide for a mechanism for a periodic review, at least every four years, which shall take into account all relevant developments in the third country or international organisation. The implementing act shall specify its territorial and sectoral application and, where applicable, identify the supervisory authority or authorities referred to in point"
Transfers of personal data to third countries or international organisations,Transfers on the basis of an adequacy decision,(b) of paragraph 2 of this Article. The implementing act shall be adopted in accordance with the examination procedure referred to in Article 93(2).
Transfers of personal data to third countries or international organisations,Transfers on the basis of an adequacy decision,"The Commission shall, on an ongoing basis, monitor developments in third countries and international organisations that could affect the functioning of decisions adopted pursuant to paragraph 3 of this Article and decisions adopted on the basis of Article 25(6) of Directive 95/46/EC."
Transfers of personal data to third countries or international organisations,Transfers on the basis of an adequacy decision,"The Commission shall, where available information reveals, in particular following the review referred to in paragraph 3 of this Article, that a third country, a territory or one or more specified sectors within a third country, or an international organisation no longer ensures an adequate level of protection within the meaning of paragraph 2 of this Article, to the extent necessary, repeal, amend or suspend the decision referred to in paragraph 3 of this Article by means of implementing acts without retro-active effect. Those implementing acts shall be adopted in accordance with the examination procedure referred to in Article 93(2)."
Transfers of personal data to third countries or international organisations,Transfers on the basis of an adequacy decision,"On duly justified imperative grounds of urgency, the Commission shall adopt immediately applicable implementing acts in accordance with the procedure referred to in Article 93(3)."
Transfers of personal data to third countries or international organisations,Transfers on the basis of an adequacy decision,The Commission shall enter into consultations with the third country or international organisation with a view to remedying the situation giving rise to the decision made pursuant to paragraph 5.
Transfers of personal data to third countries or international organisations,Transfers on the basis of an adequacy decision,"A decision pursuant to paragraph 5 of this Article is without prejudice to transfers of personal data to the third country, a territory or one or more specified sectors within that third country, or the international organisation in question pursuant to Articles 46 to 49."
Transfers of personal data to third countries or international organisations,Transfers on the basis of an adequacy decision,"The Commission shall publish in the Official Journal of the European Union and on its website a list of the third countries, territories and specified sectors within a third country and international organisations for which it has decided that an adequate level of protection is or is no longer ensured."
Transfers of personal data to third countries or international organisations,Transfers on the basis of an adequacy decision,"Decisions adopted by the Commission on the basis of Article 25(6) of Directive 95/46/EC shall remain in force until amended, replaced or repealed by a Commission Decision adopted in accordance with paragraph 3 or 5 of this Article."
Transfers of personal data to third countries or international organisations,Transfers subject to appropriate safeguards,"In the absence of a decision pursuant to Article 45(3), a controller or processor may transfer personal data to a third country or an international organisation only if the controller or processor has provided appropriate safeguards, and on condition that enforceable data subject rights and effective legal remedies for data subjects are available."
Transfers of personal data to third countries or international organisations,Transfers subject to appropriate safeguards,"The appropriate safeguards referred to in paragraph 1 may be provided for, without requiring any specific authorisation from a supervisory authority, by:"
Transfers of personal data to third countries or international organisations,Transfers subject to appropriate safeguards,a legally binding and enforceable instrument between public authorities or bodies;
Transfers of personal data to third countries or international organisations,Transfers subject to appropriate safeguards,binding corporate rules in accordance with Article 47;
Transfers of personal data to third countries or international organisations,Transfers subject to appropriate safeguards,standard data protection clauses adopted by the Commission in accordance with the examination procedure referred to in Article 93(2);
Transfers of personal data to third countries or international organisations,Transfers subject to appropriate safeguards,standard data protection clauses adopted by a supervisory authority and approved by the Commission pursuant to the examination procedure referred to in Article 93(2);
Transfers of personal data to third countries or international organisations,Transfers subject to appropriate safeguards,"an approved code of conduct pursuant to Article 40 together with binding and enforceable commitments of the controller or processor in the third country to apply the appropriate safeguards, including as regards data subjects' rights; or"
Transfers of personal data to third countries or international organisations,Transfers subject to appropriate safeguards,"an approved certification mechanism pursuant to Article 42 together with binding and enforceable commitments of the controller or processor in the third country to apply the appropriate safeguards, including as regards data subjects' rights."
Transfers of personal data to third countries or international organisations,Transfers subject to appropriate safeguards,"Subject to the authorisation from the competent supervisory authority, the appropriate safeguards referred to in paragraph 1 may also be provided for, in particular, by:"
Transfers of personal data to third countries or international organisations,Transfers subject to appropriate safeguards,"contractual clauses between the controller or processor and the controller, processor or the recipient of the personal data in the third country or international organisation; or"
Transfers of personal data to third countries or international organisations,Transfers subject to appropriate safeguards,provisions to be inserted into administrative arrangements between public authorities or bodies which include enforceable and effective data subject rights.
Transfers of personal data to third countries or international organisations,Transfers subject to appropriate safeguards,The supervisory authority shall apply the consistency mechanism referred to in Article 63 in the cases referred to in paragraph 3 of this Article.
Transfers of personal data to third countries or international organisations,Transfers subject to appropriate safeguards,"Authorisations by a Member State or supervisory authority on the basis of Article 26(2) of Directive 95/46/EC shall remain valid until amended, replaced or repealed, if necessary, by that supervisory authority. Decisions adopted by the Commission on the basis of Article 26(4) of Directive 95/46/EC shall remain in force until amended, replaced or repealed, if necessary, by a Commission Decision adopted in accordance with paragraph 2 of this Article."
Transfers of personal data to third countries or international organisations,Binding corporate rules,"The competent supervisory authority shall approve binding corporate rules in accordance with the consistency mechanism set out in Article 63, provided that they:"
Transfers of personal data to third countries or international organisations,Binding corporate rules,"are legally binding and apply to and are enforced by every member concerned of the group of undertakings, or group of enterprises engaged in a joint economic activity, including their employees;"
Transfers of personal data to third countries or international organisations,Binding corporate rules,expressly confer enforceable rights on data subjects with regard to the processing of their personal data; and
Transfers of personal data to third countries or international organisations,Binding corporate rules,fulfil the requirements laid down in paragraph 2.
Transfers of personal data to third countries or international organisations,Binding corporate rules,The binding corporate rules referred to in paragraph 1 shall specify at least:
Transfers of personal data to third countries or international organisations,Binding corporate rules,"the structure and contact details of the group of undertakings, or group of enterprises engaged in a joint economic activity and of each of its members;"
Transfers of personal data to third countries or international organisations,Binding corporate rules,"the data transfers or set of transfers, including the categories of personal data, the type of processing and its purposes, the type of data subjects affected and the identification of the third country or countries in question;"
Transfers of personal data to third countries or international organisations,Binding corporate rules,"their legally binding nature, both internally and externally;"
Transfers of personal data to third countries or international organisations,Binding corporate rules,"the application of the general data protection principles, in particular purpose limitation, data minimisation, limited storage periods, data quality, data protection by design and by default, legal basis for processing, processing of special categories of personal data, measures to ensure data security, and the requirements in respect of onward transfers to bodies not bound by the binding corporate rules;"
Transfers of personal data to third countries or international organisations,Binding corporate rules,"the rights of data subjects in regard to processing and the means to exercise those rights, including the right not to be subject to decisions based solely on automated processing, including profiling in accordance with Article 22, the right to lodge a complaint with the competent supervisory authority and before the competent courts of the Member States in accordance with Article 79, and to obtain redress and, where appropriate, compensation for a breach of the binding corporate rules;"
Transfers of personal data to third countries or international organisations,Binding corporate rules,the acceptance by the controller or processor established on the territory of a Member State of liability for any breaches of the binding corporate rules by any member concerned not
Transfers of personal data to third countries or international organisations,Binding corporate rules,"established in the Union; the controller or the processor shall be exempt from that liability, in whole or in part, only if it proves that that member is not responsible for the event giving rise to the damage;"
Transfers of personal data to third countries or international organisations,Binding corporate rules,"how the information on the binding corporate rules, in particular on the provisions referred to in points (d), (e) and (f) of this paragraph is provided to the data subjects in addition to Articles 13 and 14;"
Transfers of personal data to third countries or international organisations,Binding corporate rules,"the tasks of any data protection officer designated in accordance with Article 37 or any other person or entity in charge of the monitoring compliance with the binding corporate rules within the group of undertakings, or group of enterprises engaged in a joint economic activity, as well as monitoring training and complaint-handling;"
Transfers of personal data to third countries or international organisations,Binding corporate rules,the complaint procedures;
Transfers of personal data to third countries or international organisations,Binding corporate rules,"the mechanisms within the group of undertakings, or group of enterprises engaged in a joint economic activity for ensuring the verification of compliance with the binding corporate rules. Such mechanisms shall include data protection audits and methods for ensuring corrective actions to protect the rights of the data subject. Results of such verification should be communicated to the person or entity referred to in point (h) and to the board of the controlling undertaking of a group of undertakings, or of the group of enterprises engaged in a joint economic activity, and should be available upon request to the competent supervisory authority;"
Transfers of personal data to third countries or international organisations,Binding corporate rules,the mechanisms for reporting and recording changes to the rules and reporting those changes to the supervisory authority;
Transfers of personal data to third countries or international organisations,Binding corporate rules,"the cooperation mechanism with the supervisory authority to ensure compliance by any member of the group of undertakings, or group of enterprises engaged in a joint economic activity, in particular by making available to the supervisory authority the results of verifications of the measures referred to in point (j);"
Transfers of personal data to third countries or international organisations,Binding corporate rules,"the mechanisms for reporting to the competent supervisory authority any legal requirements to which a member of the group of undertakings, or group of enterprises engaged in a joint economic activity is subject in a third country which are likely to have a substantial adverse effect on the guarantees provided by the binding corporate rules; and"
Transfers of personal data to third countries or international organisations,Binding corporate rules,the appropriate data protection training to personnel having permanent or regular access to personal data.
Transfers of personal data to third countries or international organisations,Binding corporate rules,"The Commission may specify the format and procedures for the exchange of information between controllers, processors and supervisory authorities for binding corporate rules within the meaning of this Article. Those implementing acts shall be adopted in accordance with the examination procedure set out in Article 93(2)."
Transfers of personal data to third countries or international organisations,Transfers or disclosures not authorised by Union law,"Any judgment of a court or tribunal and any decision of an administrative authority of a third country requiring a controller or processor to transfer or disclose personal data may only be recognised or enforceable in any manner if based on an international agreement, such as a mutual legal assistance treaty, in force between the requesting third country and the Union or a Member State, without prejudice to other grounds for transfer pursuant to this Chapter."
Transfers of personal data to third countries or international organisations,Derogations for specific situations,"In the absence of an adequacy decision pursuant to Article 45(3), or of appropriate safeguards pursuant to Article 46, including binding corporate rules, a transfer or a set of transfers of personal data to a third country or an international organisation shall take place only on one of the following conditions:"
Transfers of personal data to third countries or international organisations,Derogations for specific situations,"the data subject has explicitly consented to the proposed transfer, after having been informed of the possible risks of such transfers for the data subject due to the absence of an adequacy decision and appropriate safeguards;"
Transfers of personal data to third countries or international organisations,Derogations for specific situations,the transfer is necessary for the performance of a contract between the data subject and the controller or the implementation of pre-contractual measures taken at the data subject's request;
Transfers of personal data to third countries or international organisations,Derogations for specific situations,the transfer is necessary for the conclusion or performance of a contract concluded in the interest of the data subject between the controller and another natural or legal person;
Transfers of personal data to third countries or international organisations,Derogations for specific situations,the transfer is necessary for important reasons of public interest;
Transfers of personal data to third countries or international organisations,Derogations for specific situations,"the transfer is necessary for the establishment, exercise or defence of legal claims;"
Transfers of personal data to third countries or international organisations,Derogations for specific situations,"the transfer is necessary in order to protect the vital interests of the data subject or of other persons, where the data subject is physically or legally incapable of giving consent;"
Transfers of personal data to third countries or international organisations,Derogations for specific situations,"the transfer is made from a register which according to Union or Member State law is intended to provide information to the public and which is open to consultation either by the public in general or by any person who can demonstrate a legitimate interest, but only to the extent that the conditions laid down by Union or Member State law for consultation are fulfilled in the particular case."
Transfers of personal data to third countries or international organisations,Derogations for specific situations,"Where a transfer could not be based on a provision in Article 45 or 46, including the provisions on binding corporate rules, and none of the derogations for a specific situation referred to in the first subparagraph of this paragraph is applicable, a transfer to a third country or an international organisation may take place only if the transfer is not repetitive, concerns only a limited number of data subjects, is necessary for the purposes of compelling legitimate interests pursued by the controller which are not overridden by the interests or rights and freedoms of the data subject, and the controller has assessed all the circumstances surrounding the data transfer and has on the basis of"
Transfers of personal data to third countries or international organisations,Derogations for specific situations,"that assessment provided suitable safeguards with regard to the protection of personal data. The controller shall inform the supervisory authority of the transfer. The controller shall, in addition to providing the information referred to in Articles 13 and 14, inform the data subject of the transfer and on the compelling legitimate interests pursued."
Transfers of personal data to third countries or international organisations,Derogations for specific situations,"A transfer pursuant to point (g) of the first subparagraph of paragraph 1 shall not involve the entirety of the personal data or entire categories of the personal data contained in the register. Where the register is intended for consultation by persons having a legitimate interest, the transfer shall be made only at the request of those persons or if they are to be the recipients."
Transfers of personal data to third countries or international organisations,Derogations for specific situations,"Points (a), (b) and (c) of the first subparagraph of paragraph 1 and the second subparagraph thereof shall not apply to activities carried out by public authorities in the exercise of their public powers."
Transfers of personal data to third countries or international organisations,Derogations for specific situations,The public interest referred to in point (d) of the first subparagraph of paragraph 1 shall be recognised in Union law or in the law of the Member State to which the controller is subject.
Transfers of personal data to third countries or international organisations,Derogations for specific situations,"In the absence of an adequacy decision, Union or Member State law may, for important reasons of public interest, expressly set limits to the transfer of specific categories of personal data to a third country or an international organisation. Member States shall notify such provisions to the Commission."
Transfers of personal data to third countries or international organisations,Derogations for specific situations,The controller or processor shall document the assessment as well as the suitable safeguards referred to in the second subparagraph of paragraph 1 of this Article in the records referred to in Article 30.
Transfers of personal data to third countries or international organisations,International cooperation for the protection of personal data,"In relation to third countries and international organisations, the Commission and supervisory authorities shall take appropriate steps to:"
Transfers of personal data to third countries or international organisations,International cooperation for the protection of personal data,develop international cooperation mechanisms to facilitate the effective enforcement of legislation for the protection of personal data;
Transfers of personal data to third countries or international organisations,International cooperation for the protection of personal data,"provide international mutual assistance in the enforcement of legislation for the protection of personal data, including through notification, complaint referral, investigative assistance and information exchange, subject to appropriate safeguards for the protection of personal data and other fundamental rights and freedoms;"
Transfers of personal data to third countries or international organisations,International cooperation for the protection of personal data,engage relevant stakeholders in discussion and activities aimed at furthering international cooperation in the enforcement of legislation for the protection of personal data;
Transfers of personal data to third countries or international organisations,International cooperation for the protection of personal data,"promote the exchange and documentation of personal data protection legislation and practice, including on jurisdictional conflicts with third countries."
Independent supervisory authorities,International cooperation for the protection of personal data,Section 1 Independent status
Independent supervisory authorities,Supervisory authority,"Each Member State shall provide for one or more independent public authorities to be responsible for monitoring the application of this Regulation, in order to protect the fundamental rights and freedoms of natural persons in relation to processing and to facilitate the free flow of personal data within the Union (‘supervisory authority’)."
Independent supervisory authorities,Supervisory authority,"Each supervisory authority shall contribute to the consistent application of this Regulation throughout the Union. For that purpose, the supervisory authorities shall cooperate with each other and the Commission in accordance with Chapter VII."
Independent supervisory authorities,Supervisory authority,"Where more than one supervisory authority is established in a Member State, that Member State shall designate the supervisory authority which is to represent those authorities in the Board and shall set out the mechanism to ensure compliance by the other authorities with the rules relating to the consistency mechanism referred to in Article 63."
Independent supervisory authorities,Supervisory authority,"Each Member State shall notify to the Commission the provisions of its law which it adopts pursuant to this Chapter, by 25 May 2018 and, without delay, any subsequent amendment affecting them."
Independent supervisory authorities,Independence,Each supervisory authority shall act with complete independence in performing its tasks and exercising its powers in accordance with this Regulation.
Independent supervisory authorities,Independence,"The member or members of each supervisory authority shall, in the performance of their tasks and exercise of their powers in accordance with this Regulation, remain free from external influence, whether direct or indirect, and shall neither seek nor take instructions from anybody."
Independent supervisory authorities,Independence,"Member or members of each supervisory authority shall refrain from any action incompatible with their duties and shall not, during their term of office, engage in any incompatible occupation, whether gainful or not."
Independent supervisory authorities,Independence,"Each Member State shall ensure that each supervisory authority is provided with the human, technical and financial resources, premises and infrastructure necessary for the effective performance of its tasks and exercise of its powers, including those to be carried out in the context of mutual assistance, cooperation and participation in the Board."
Independent supervisory authorities,Independence,Each Member State shall ensure that each supervisory authority chooses and has its own staff which shall be subject to the exclusive direction of the member or members of the supervisory authority concerned.
Independent supervisory authorities,Independence,"Each Member State shall ensure that each supervisory authority is subject to financial control which does not affect its independence and that it has separate, public annual budgets, which may be part of the overall state or national budget."
Independent supervisory authorities,General conditions for the members of the supervisory authority,Member States shall provide for each member of their supervisory authorities to be appointed by means of a transparent procedure by:
Independent supervisory authorities,General conditions for the members of the supervisory authority,their parliament;
Independent supervisory authorities,General conditions for the members of the supervisory authority,their government;
Independent supervisory authorities,General conditions for the members of the supervisory authority,their head of State; or
Independent supervisory authorities,General conditions for the members of the supervisory authority,an independent body entrusted with the appointment under Member State law.
Independent supervisory authorities,General conditions for the members of the supervisory authority,"Each member shall have the qualifications, experience and skills, in particular in the area of the protection of personal data, required to perform its duties and exercise its powers."
Independent supervisory authorities,General conditions for the members of the supervisory authority,"The duties of a member shall end in the event of the expiry of the term of office, resignation or compulsory retirement, in accordance with the law of the Member State concerned."
Independent supervisory authorities,General conditions for the members of the supervisory authority,A member shall be dismissed only in cases of serious misconduct or if the member no longer fulfils the conditions required for the performance of the duties.
Independent supervisory authorities,Rules on the establishment of the supervisory authority,Each Member State shall provide by law for all of the following:
Independent supervisory authorities,Rules on the establishment of the supervisory authority,the establishment of each supervisory authority;
Independent supervisory authorities,Rules on the establishment of the supervisory authority,the qualifications and eligibility conditions required to be appointed as member of each supervisory authority;
Independent supervisory authorities,Rules on the establishment of the supervisory authority,the rules and procedures for the appointment of the member or members of each supervisory authority;
Independent supervisory authorities,Rules on the establishment of the supervisory authority,"the duration of the term of the member or members of each supervisory authority of no less than four years, except for the first appointment after 24 May 2016, part of which may take place for a shorter period where that is necessary to protect the independence of the supervisory authority by means of a staggered appointment procedure;"
Independent supervisory authorities,Rules on the establishment of the supervisory authority,"whether and, if so, for how many terms the member or members of each supervisory authority is eligible for reappointment;"
Independent supervisory authorities,Rules on the establishment of the supervisory authority,"the conditions governing the obligations of the member or members and staff of each supervisory authority, prohibitions on actions, occupations and benefits incompatible therewith during and after the term of office and rules governing the cessation of employment."
Independent supervisory authorities,Rules on the establishment of the supervisory authority,"The member or members and the staff of each supervisory authority shall, in accordance with Union or Member State law, be subject to a duty of professional secrecy both during and after their term of office, with regard to any confidential information which has come to their knowledge in the course of the performance of their tasks or exercise of their powers. During their term of office, that duty of professional secrecy shall in particular apply to reporting by natural persons of infringements of this Regulation."
Independent supervisory authorities,Rules on the establishment of the supervisory authority,"Section 2 Competence, tasks and powers"
Independent supervisory authorities,Competence,Each supervisory authority shall be competent for the performance of the tasks assigned to and the exercise of the powers conferred on it in accordance with this Regulation on the territory of its own Member State.
