chapter,section,article,recital
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,Art. 11. The processing of sensitive personal data shall only occur in the following situations:,"§3 Communication or shared use of sensitive personal data between controllers for the purpose of obtaining an economic advantage may be prohibited or regulated by the national authority, being heard the sectoral entities of the public authority, within their regulatory capacity.2"
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,Art. 11. The processing of sensitive personal data shall only occur in the following situations:,"§4 Communication or shared use between controllers of sensitive personal data referring to health for the purpose of obtaining an economic advantage is prohibited, except in cases of portability of data when consented by the data subject."
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,Art. 11. The processing of sensitive personal data shall only occur in the following situations:,"§4 Communication or shared use between controllers of sensitive personal data referring to health in order to obtain an economic advantage is prohibited, except in hypotheses related to the provision of health services, pharmaceutical assistance and health insurance3, as long as the paragraph 5 of this article is observed, including auxiliary diagnostic and therapeutic services, in benefit of the interests of the data subject and also to allow:"
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,Art. 11. The processing of sensitive personal data shall only occur in the following situations:,- data portability of data when requested by the data subject; or
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,Art. 11. The processing of sensitive personal data shall only occur in the following situations:,- the financial and administrative transactions resulted from the use and provision of the services referred to in this paragraph.
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,Art. 11. The processing of sensitive personal data shall only occur in the following situations:,§5 Operators of private health care plans are prohibited from processing health data
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,Art. 11. The processing of sensitive personal data shall only occur in the following situations:,2 We translated “dentro de suas competências” as “within their regulatory capacity” and not “within their competence” because it is not common to use “competence” in this context in English (Translator’s Note).
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,Art. 11. The processing of sensitive personal data shall only occur in the following situations:,"3 Following the official terminology of the Brazilian Regulatory Agency for Private Health Insurance and Plans (ANS), we translated “serviços de assistência à saúde” as “health insurance”. We have also substituted"
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,Art. 11. The processing of sensitive personal data shall only occur in the following situations:,"“competence” for “capabilities”, in some cases (Translator’s Note)."
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,Art. 11. The processing of sensitive personal data shall only occur in the following situations:,"for the practice of risk evaluation in any modality of hiring, as well as the hiring and exclusion of beneficiaries. (Included by Law No. 13,853/2019)"
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,"Art. 12. Anonymized data shall not be considered personal data, for purposes of this Law, except when the process of anonymization to which the data were submitted has been reversed, using exclusively its own efforts, or when it can be reversed applying reasonable efforts.","§1 The determination of what is considered reasonable shall take objective factors into account, such as cost and time necessary to reverse the process of anonymization, depending on the available technology, and the exclusive use of its own means."
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,"Art. 12. Anonymized data shall not be considered personal data, for purposes of this Law, except when the process of anonymization to which the data were submitted has been reversed, using exclusively its own efforts, or when it can be reversed applying reasonable efforts.","§2 Data can be considered personal, for purposes of this Law, when they are used to formulate behavioral profiles of a particular natural person, if that person is identified."
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,"Art. 12. Anonymized data shall not be considered personal data, for purposes of this Law, except when the process of anonymization to which the data were submitted has been reversed, using exclusively its own efforts, or when it can be reversed applying reasonable efforts.","§3 The national authority may provide for standards and techniques to be used in processes of anonymization, and carry out security checks, with opinions from the National Board for the Protection of Personal Data."
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,"Art. 13. When carrying out public health studies, research entities may have access to personal databases, which shall be processed exclusively within the entity and strictly for the purpose of carrying out studies and research. Those databases shall be kept in a controlled and secure environment, in accordance with security practices provided in specific regulation and this includes, whenever possible, anonymization or pseudonymization of the data, as well as taking into account the proper ethical standards related to studies and research.","§1 Disclosure of the results or of any portion of the study or the research, as mentioned in the lead sentence of this article, shall under no circumstances reveal personal data."
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,"Art. 13. When carrying out public health studies, research entities may have access to personal databases, which shall be processed exclusively within the entity and strictly for the purpose of carrying out studies and research. Those databases shall be kept in a controlled and secure environment, in accordance with security practices provided in specific regulation and this includes, whenever possible, anonymization or pseudonymization of the data, as well as taking into account the proper ethical standards related to studies and research.","§2 The research entity shall be held liable for the security of the information provided in the lead sentence of this article, and it is forbidden, under any circumstances, to transfer the data to a third party."
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,"Art. 13. When carrying out public health studies, research entities may have access to personal databases, which shall be processed exclusively within the entity and strictly for the purpose of carrying out studies and research. Those databases shall be kept in a controlled and secure environment, in accordance with security practices provided in specific regulation and this includes, whenever possible, anonymization or pseudonymization of the data, as well as taking into account the proper ethical standards related to studies and research.","§3 Access to data as provided in this article shall be the object of regulation by the national authority and of the authorities in the area of health and sanitation, within the scope of their regulatory capacity.4"
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,"Art. 13. When carrying out public health studies, research entities may have access to personal databases, which shall be processed exclusively within the entity and strictly for the purpose of carrying out studies and research. Those databases shall be kept in a controlled and secure environment, in accordance with security practices provided in specific regulation and this includes, whenever possible, anonymization or pseudonymization of the data, as well as taking into account the proper ethical standards related to studies and research.","§4 For purposes of this article, pseudonymization is the processing by means of which"
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,"Art. 13. When carrying out public health studies, research entities may have access to personal databases, which shall be processed exclusively within the entity and strictly for the purpose of carrying out studies and research. Those databases shall be kept in a controlled and secure environment, in accordance with security practices provided in specific regulation and this includes, whenever possible, anonymization or pseudonymization of the data, as well as taking into account the proper ethical standards related to studies and research.",4 See footnote number 2.
CHAPTER II PROCESSING OF PERSONAL DATA,Section II Processing of Sensitive Personal Data,"Art. 13. When carrying out public health studies, research entities may have access to personal databases, which shall be processed exclusively within the entity and strictly for the purpose of carrying out studies and research. Those databases shall be kept in a controlled and secure environment, in accordance with security practices provided in specific regulation and this includes, whenever possible, anonymization or pseudonymization of the data, as well as taking into account the proper ethical standards related to studies and research.","data can no longer be directly or indirectly associated with an individual, except by using additional information kept separately by the controller in a controlled and secure environment."
CHAPTER II PROCESSING OF PERSONAL DATA,Section III Processing of Children and Adolescents’ Personal Data,"Art. 14. The processing of personal data belonging to children and adolescents shall be done in their best interest, pursuant to this article and specific legislation.",§1 The processing of children’s personal data shall be done with specific and highlighted consent given by at least one of the parents or the legal representative.
CHAPTER II PROCESSING OF PERSONAL DATA,Section III Processing of Children and Adolescents’ Personal Data,"Art. 14. The processing of personal data belonging to children and adolescents shall be done in their best interest, pursuant to this article and specific legislation.","§2 When processing data as mentioned in §1 of this article, controllers shall make public the information about the types of data collected, the way it is used and the procedures for exercising the rights of data subjects referred to in Art. 18 of this Law."
CHAPTER II PROCESSING OF PERSONAL DATA,Section III Processing of Children and Adolescents’ Personal Data,"Art. 14. The processing of personal data belonging to children and adolescents shall be done in their best interest, pursuant to this article and specific legislation.","§3 Children’s personal data may be collected without the consent mentioned in §1 of this article when the collection is necessary to contact the parents or the legal representative, and as long as the data are used one single time and not stored, or for their protection, and under no circumstances shall the data be passed on to third parties without consent as provided in §1 of this article."
CHAPTER II PROCESSING OF PERSONAL DATA,Section III Processing of Children and Adolescents’ Personal Data,"Art. 14. The processing of personal data belonging to children and adolescents shall be done in their best interest, pursuant to this article and specific legislation.","§4 Controllers shall not condition the participation of data subjects, as referred to in"
CHAPTER II PROCESSING OF PERSONAL DATA,Section III Processing of Children and Adolescents’ Personal Data,"Art. 14. The processing of personal data belonging to children and adolescents shall be done in their best interest, pursuant to this article and specific legislation.","§1 of this article, to games, internet applications or other activities for providing personal information beyond what is strictly necessary for the activity."
CHAPTER II PROCESSING OF PERSONAL DATA,Section III Processing of Children and Adolescents’ Personal Data,"Art. 14. The processing of personal data belonging to children and adolescents shall be done in their best interest, pursuant to this article and specific legislation.","§5 The controller shall use all reasonable efforts to verify that the consent referred to in §1 of this article was given by the child’s representative, considering available technologies."
CHAPTER II PROCESSING OF PERSONAL DATA,Section III Processing of Children and Adolescents’ Personal Data,"Art. 14. The processing of personal data belonging to children and adolescents shall be done in their best interest, pursuant to this article and specific legislation.","§6 Information on the processing of data referred to in this article shall be provided in a simple, clear and accessible manner, taking into account the physical-motor, perceptive, sensorial, intellectual and mental characteristics of the user, using audiovisual resources when appropriate, in order to provide the necessary information to the parents or the legal representative and that is appropriate for the children’s understanding."
CHAPTER II PROCESSING OF PERSONAL DATA,Section IV,"Art. 14. The processing of personal data belonging to children and adolescents shall be done in their best interest, pursuant to this article and specific legislation.",Termination of Data Processing
CHAPTER II PROCESSING OF PERSONAL DATA,Section IV,Art. 15. The processing of personal data shall be terminated under the following circumstances:,– verification that the purpose has been achieved or that the data are no longer necessary or pertinent to achieve the specific purpose intended;
CHAPTER II PROCESSING OF PERSONAL DATA,Section IV,Art. 15. The processing of personal data shall be terminated under the following circumstances:,– end of the processing period;
CHAPTER II PROCESSING OF PERSONAL DATA,Section IV,Art. 15. The processing of personal data shall be terminated under the following circumstances:,"– communication by the data subject, including when exercising her/his right to revoke consent, as provided in §5 of Art. 8 of this Law, subject to the public interest; or"
CHAPTER II PROCESSING OF PERSONAL DATA,Section IV,Art. 15. The processing of personal data shall be terminated under the following circumstances:,– determination by the national authority when there has been a violation of the provisions of this Law.
CHAPTER II PROCESSING OF PERSONAL DATA,Section IV,"Art. 16. Personal data shall be deleted following the termination of their processing, within the scope and technical limits of the activities, but their storage is authorized for the following purposes:",– compliance with a legal or regulatory obligation by the controller;
CHAPTER II PROCESSING OF PERSONAL DATA,Section IV,"Art. 16. Personal data shall be deleted following the termination of their processing, within the scope and technical limits of the activities, but their storage is authorized for the following purposes:","– study by a research entity, ensuring, whenever possible, the anonymization of the personal data;"
CHAPTER II PROCESSING OF PERSONAL DATA,Section IV,"Art. 16. Personal data shall be deleted following the termination of their processing, within the scope and technical limits of the activities, but their storage is authorized for the following purposes:","– transfer to third parties, provided that the requirements for data processing as provided in this Law are obeyed; or"
CHAPTER II PROCESSING OF PERSONAL DATA,Section IV,"Art. 16. Personal data shall be deleted following the termination of their processing, within the scope and technical limits of the activities, but their storage is authorized for the following purposes:","– exclusive use of the controller, with access by third parties being prohibited, and provided the data has been anonymized."
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,"Art. 18. The data subject5, regarding the data subject’s data being processed by the controller, at any time and by means of request, has the right to obtain the following from the controller:",I – confirmation of the existence of the processing; II – access to the data;
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,"Art. 18. The data subject5, regarding the data subject’s data being processed by the controller, at any time and by means of request, has the right to obtain the following from the controller:","– correction of incomplete, inaccurate or out-of-date data;"
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,"Art. 18. The data subject5, regarding the data subject’s data being processed by the controller, at any time and by means of request, has the right to obtain the following from the controller:","– anonymization, blocking or deletion of unnecessary or excessive data or data processed in noncompliance with the provisions of this Law;"
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,"Art. 18. The data subject5, regarding the data subject’s data being processed by the controller, at any time and by means of request, has the right to obtain the following from the controller:","- portability of the data to another service or product provider, by means of an express request and subject to commercial and industrial secrecy, pursuant to the regulation of the controlling agency;"
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,"Art. 18. The data subject5, regarding the data subject’s data being processed by the controller, at any time and by means of request, has the right to obtain the following from the controller:","– portability of the data to another service provider or product provider, by the means of an express request, pursuant with the regulations of the national authority, and subject to commercial and industrial secrets; (New Wording Given by Law No. 13,853/2019)"
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,"Art. 18. The data subject5, regarding the data subject’s data being processed by the controller, at any time and by means of request, has the right to obtain the following from the controller:","– deletion of personal data processed with the consent of the data subject, except in the situations provided in Art. 16 of this Law;"
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,"Art. 18. The data subject5, regarding the data subject’s data being processed by the controller, at any time and by means of request, has the right to obtain the following from the controller:",– information about public and private entities with which the controller has shared
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,"Art. 18. The data subject5, regarding the data subject’s data being processed by the controller, at any time and by means of request, has the right to obtain the following from the controller:",data;
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,"Art. 18. The data subject5, regarding the data subject’s data being processed by the controller, at any time and by means of request, has the right to obtain the following from the controller:",– information about the possibility of denying consent and the consequences of
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,"Art. 18. The data subject5, regarding the data subject’s data being processed by the controller, at any time and by means of request, has the right to obtain the following from the controller:",such denial;
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,"Art. 18. The data subject5, regarding the data subject’s data being processed by the controller, at any time and by means of request, has the right to obtain the following from the controller:",– revocation of consent as provided in §5 of Art. 8 of this Law.
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,"Art. 18. The data subject5, regarding the data subject’s data being processed by the controller, at any time and by means of request, has the right to obtain the following from the controller:","§1 The personal data subject has the right to petition, regarding her/his data, against the controller before the national authority."
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,"Art. 18. The data subject5, regarding the data subject’s data being processed by the controller, at any time and by means of request, has the right to obtain the following from the controller:","§2 The data subject may oppose the processing carried out based on one of the situations of waiver of consent, if there is noncompliance with the provisions of this Law."
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,"Art. 18. The data subject5, regarding the data subject’s data being processed by the controller, at any time and by means of request, has the right to obtain the following from the controller:",§3 The rights provided in this article shall be exercised by means of an express request by the data subject or her/his legally constituted representative to the processing agent.
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,"Art. 18. The data subject5, regarding the data subject’s data being processed by the controller, at any time and by means of request, has the right to obtain the following from the controller:","§4 If it is impossible to immediately adopt the measure mentioned in §3 of this article, the controller shall send a reply to the data subject in which she/he may:"
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,"Art. 18. The data subject5, regarding the data subject’s data being processed by the controller, at any time and by means of request, has the right to obtain the following from the controller:","5 For reasons of objectivity and clarity, we translated “titular dos dados pessoais” simply as “data subject” in the whole document (Translator’s Note)."
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,"Art. 18. The data subject5, regarding the data subject’s data being processed by the controller, at any time and by means of request, has the right to obtain the following from the controller:","– communicate that she/he is not the data processing agent and indicate, whenever possible, who the agent is; or"
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,"Art. 18. The data subject5, regarding the data subject’s data being processed by the controller, at any time and by means of request, has the right to obtain the following from the controller:",– indicate the reasons of fact or of law that prevent the immediate adoption of the measure.
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,"Art. 18. The data subject5, regarding the data subject’s data being processed by the controller, at any time and by means of request, has the right to obtain the following from the controller:","§5 The request as mentioned in §3 of this article shall be fulfilled without costs to the data subject, within the time periods and the terms as provided in regulation."
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,"Art. 18. The data subject5, regarding the data subject’s data being processed by the controller, at any time and by means of request, has the right to obtain the following from the controller:","§6 The responsible shall immediately inform the processing agents with which she/he has carried out the shared use of data of the correction, deletion, anonymization or blocking of data, so that they can repeat an identical procedure."
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,"Art. 18. The data subject5, regarding the data subject’s data being processed by the controller, at any time and by means of request, has the right to obtain the following from the controller:","§6 The controller shall immediately inform the processing agents with which she/he has carried out the shared use of data of the correction, deletion, anonymization or blocking of data, so that they can repeat an identical procedure, except in cases in which this action is proven impossible or involves disproportionate effort. (New Wording Given by Law No. 13,853/2019)"
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,"Art. 18. The data subject5, regarding the data subject’s data being processed by the controller, at any time and by means of request, has the right to obtain the following from the controller:",§7 The portability of personal data referred to in item V of the lead sentence of this article does not include data that have already been anonymized by the controller.
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,"Art. 18. The data subject5, regarding the data subject’s data being processed by the controller, at any time and by means of request, has the right to obtain the following from the controller:",§8 The right referred to in §1 of this article may also be exercised before consumer- defense entities.
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,Art. 19. Confirmation of the existence of or access to personal data shall be provided by means of request by the data subject:,"– in a simplified format, immediately; or"
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,Art. 19. Confirmation of the existence of or access to personal data shall be provided by means of request by the data subject:,"– by means of a clear and complete declaration that indicates the origin of the data, the nonexistence of registration, the criteria used and the purpose of the processing, subject to commercial and industrial secrecy, provided within a period of fifteen (15) days as from the date of the data subject’s request."
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,Art. 19. Confirmation of the existence of or access to personal data shall be provided by means of request by the data subject:,§1 Personal data shall be stored in a format that facilitates the exercise of the right to
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,Art. 19. Confirmation of the existence of or access to personal data shall be provided by means of request by the data subject:,access.
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,Art. 19. Confirmation of the existence of or access to personal data shall be provided by means of request by the data subject:,"§2 Information and the data may be provided, at the data subject’s discretion: I – by electronic means that is safe and suitable for this purpose; or"
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,Art. 19. Confirmation of the existence of or access to personal data shall be provided by means of request by the data subject:,II – in printed form.
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,Art. 19. Confirmation of the existence of or access to personal data shall be provided by means of request by the data subject:,"§3 When processing originates from the consent of the data subject or from a contract, the data subject may request a complete electronic copy of her/his personal data, subject to commercial and industrial secrecy, in accordance with regulations of the national authority, in a format that allows its subsequent use, including for other processing operations."
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,Art. 19. Confirmation of the existence of or access to personal data shall be provided by means of request by the data subject:,§4 The national authority may provide differently regarding the time periods provided in items I and II of the lead sentence of this article for specific sectors.
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,"Art. 20. The data subject has the right to request for the review of decisions made solely based on automated processing of personal data affecting her/his interests, including decisions intended to define her/his personal, professional, consumer and credit profile, or aspects of her/his personality. (New Wording Given by Law No. 13,853/2019)","§1 Whenever requested to do so, the controller shall provide clear and adequate information regarding the criteria and procedures used for an automated decision, subject to commercial and industrial secrecy."
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,"Art. 20. The data subject has the right to request for the review of decisions made solely based on automated processing of personal data affecting her/his interests, including decisions intended to define her/his personal, professional, consumer and credit profile, or aspects of her/his personality. (New Wording Given by Law No. 13,853/2019)","§2 If there is no offer of information as provided in §1 of this article, based on commercial and industrial secrecy, the national authority may carry out an audit to verify discriminatory aspects in automated processing of personal data."
CHAPTER III DATA SUBJECTS’ RIGHTS,undefined,"Art. 20. The data subject has the right to request for the review of decisions made solely based on automated processing of personal data affecting her/his interests, including decisions intended to define her/his personal, professional, consumer and credit profile, or aspects of her/his personality. (New Wording Given by Law No. 13,853/2019)","§3 (vetoed). (Included by Law No. 13,853/2019)"
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Section I Rules,"Art. 23. Processing of personal data by legal entities of public law referred to in sole paragraph of Art. 1 of Law No. 12,527, of November 18, 2011 (the “Brazilian Access to Information Law”), shall be done in fulfillment of its public purpose, in benefit of the public interest, for the purpose of performing legal capabilities or discharging legal attributions of the public service, provided that:","– they communicate the situations in which, in the exercise of their regulatory capacities, they carry out the processing of personal data, supplying clear and up-to-date information about the legal base, purpose, procedures and practices used to carry out these activities in an easily accessible media, preferably on their websites;"
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Section I Rules,"Art. 23. Processing of personal data by legal entities of public law referred to in sole paragraph of Art. 1 of Law No. 12,527, of November 18, 2011 (the “Brazilian Access to Information Law”), shall be done in fulfillment of its public purpose, in benefit of the public interest, for the purpose of performing legal capabilities or discharging legal attributions of the public service, provided that:",– (vetoed); and
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Section I Rules,"Art. 23. Processing of personal data by legal entities of public law referred to in sole paragraph of Art. 1 of Law No. 12,527, of November 18, 2011 (the “Brazilian Access to Information Law”), shall be done in fulfillment of its public purpose, in benefit of the public interest, for the purpose of performing legal capabilities or discharging legal attributions of the public service, provided that:","– a data protection officer is appointed when carrying out personal data processing operations, in accordance with Art. 39 of this Law; and (New Wording Given by Law No. 13,853/2019)"
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Section I Rules,"Art. 23. Processing of personal data by legal entities of public law referred to in sole paragraph of Art. 1 of Law No. 12,527, of November 18, 2011 (the “Brazilian Access to Information Law”), shall be done in fulfillment of its public purpose, in benefit of the public interest, for the purpose of performing legal capabilities or discharging legal attributions of the public service, provided that:","– (vetoed). (Included by Law No. 13,853/2019)"
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Section I Rules,"Art. 23. Processing of personal data by legal entities of public law referred to in sole paragraph of Art. 1 of Law No. 12,527, of November 18, 2011 (the “Brazilian Access to Information Law”), shall be done in fulfillment of its public purpose, in benefit of the public interest, for the purpose of performing legal capabilities or discharging legal attributions of the public service, provided that:",§1 The national authority may provide for the forms of disclosing information on data processing operations.
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Section I Rules,"Art. 23. Processing of personal data by legal entities of public law referred to in sole paragraph of Art. 1 of Law No. 12,527, of November 18, 2011 (the “Brazilian Access to Information Law”), shall be done in fulfillment of its public purpose, in benefit of the public interest, for the purpose of performing legal capabilities or discharging legal attributions of the public service, provided that:","§2 The provisions of this Law do not exempt the legal entities mentioned in the lead sentence of this article from establishing the authorities as provided in Law No. 12,527, of November 18, 2011 (the “Brazilian Access to Information Law”)."
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Section I Rules,"Art. 23. Processing of personal data by legal entities of public law referred to in sole paragraph of Art. 1 of Law No. 12,527, of November 18, 2011 (the “Brazilian Access to Information Law”), shall be done in fulfillment of its public purpose, in benefit of the public interest, for the purpose of performing legal capabilities or discharging legal attributions of the public service, provided that:","§3 The time periods and procedures for exercising data subjects’ rights before the public authorities shall obey the provisions of specific legislation, especially the provisions stated in Law No. 9,507, of November 12, 1997 (the “Brazilian Habeas Data Law”), of Law No. 9,784, of January 29, 1999 (the “Federal Administrative Procedure Law”), and of Law No. 12,527, of November 18, 2011 (the “Brazilian Access to Information Law”)."
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Section I Rules,"Art. 23. Processing of personal data by legal entities of public law referred to in sole paragraph of Art. 1 of Law No. 12,527, of November 18, 2011 (the “Brazilian Access to Information Law”), shall be done in fulfillment of its public purpose, in benefit of the public interest, for the purpose of performing legal capabilities or discharging legal attributions of the public service, provided that:","§4 Notarial and registry services, carried out under private nature by delegation of public authorities, shall receive the same treatment given to legal entities as provided in the lead sentence of this article, in accordance with the terms of this Law."
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Section I Rules,"Art. 23. Processing of personal data by legal entities of public law referred to in sole paragraph of Art. 1 of Law No. 12,527, of November 18, 2011 (the “Brazilian Access to Information Law”), shall be done in fulfillment of its public purpose, in benefit of the public interest, for the purpose of performing legal capabilities or discharging legal attributions of the public service, provided that:",§5o Notarial and registry bodies shall provide access to data by electronic means to the public administration in order to fulfill the purposes mentioned in the lead sentence of this
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Section I Rules,"Art. 23. Processing of personal data by legal entities of public law referred to in sole paragraph of Art. 1 of Law No. 12,527, of November 18, 2011 (the “Brazilian Access to Information Law”), shall be done in fulfillment of its public purpose, in benefit of the public interest, for the purpose of performing legal capabilities or discharging legal attributions of the public service, provided that:",article.
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Section I Rules,"Art. 24. Public companies and mixed-capital companies that operate in the competing market, subject to the provisions of Art. 173 of the Federal Constitution, shall receive the same treatment given to private legal entities of private law, under the terms of this Law.","Sole paragraph. Public and mixed-capital companies, when they are carrying out public policies and within the scope of their execution, shall receive the same treatment given to the bodies and entities of the public authorities, under the terms of this Chapter."
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Section I Rules,"Art. 26. The shared use of personal data by public authorities shall fulfill the specific purposes of execution of public policies and legal attributions by agencies and public entities, subject to the principles of personal data protection listed in Art. 6 of this Law.","§1 It is forbidden for public authorities to transfer to private entities personal data contained in databases to which they have access, except:"
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Section I Rules,"Art. 26. The shared use of personal data by public authorities shall fulfill the specific purposes of execution of public policies and legal attributions by agencies and public entities, subject to the principles of personal data protection listed in Art. 6 of this Law.","– in cases of decentralized execution of public activity that requires transfer, exclusively for this specific and distinct purpose, subject to the provisions of Law No. 12,527, of November 18, 2011 (the “Brazilian Access to Information Law”);"
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Section I Rules,"Art. 26. The shared use of personal data by public authorities shall fulfill the specific purposes of execution of public policies and legal attributions by agencies and public entities, subject to the principles of personal data protection listed in Art. 6 of this Law.",– (vetoed);
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Section I Rules,"Art. 26. The shared use of personal data by public authorities shall fulfill the specific purposes of execution of public policies and legal attributions by agencies and public entities, subject to the principles of personal data protection listed in Art. 6 of this Law.","– in cases in which the data are publicly accessible, subject to the provisions of this"
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Section I Rules,"Art. 26. The shared use of personal data by public authorities shall fulfill the specific purposes of execution of public policies and legal attributions by agencies and public entities, subject to the principles of personal data protection listed in Art. 6 of this Law.",Law.
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Section I Rules,"Art. 26. The shared use of personal data by public authorities shall fulfill the specific purposes of execution of public policies and legal attributions by agencies and public entities, subject to the principles of personal data protection listed in Art. 6 of this Law.","– when there is a legal provision or the transfer is grounded on contracts,"
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Section I Rules,"Art. 26. The shared use of personal data by public authorities shall fulfill the specific purposes of execution of public policies and legal attributions by agencies and public entities, subject to the principles of personal data protection listed in Art. 6 of this Law.","agreements or similar instruments; or (Included by Law No. 13,853/2019)"
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Section I Rules,"Art. 26. The shared use of personal data by public authorities shall fulfill the specific purposes of execution of public policies and legal attributions by agencies and public entities, subject to the principles of personal data protection listed in Art. 6 of this Law.","– in the event that the transfer of data is exclusively intended to prevent fraud and irregularities, or to protect and safeguard the data subject’s security and integrity, provided that processing is forbidden to be carried out for other purposes.” (Included by Law No. 13,853/2019)"
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Section I Rules,"Art. 26. The shared use of personal data by public authorities shall fulfill the specific purposes of execution of public policies and legal attributions by agencies and public entities, subject to the principles of personal data protection listed in Art. 6 of this Law.",§2 Contracts and agreements as mentioned in §1 of this article shall be communicated to the national authority.
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Section I Rules,"Art. 27. Communication or shared use of personal data from a legal entity of public law to a legal entity of private law shall be communicated to the national authority and shall rely on the consent of the data subject, except:",– in situations in which consent is waived as provided in this Law;
